Comment,Designator,Footprint,LCSC,Quantity
ATtiny402-SS,U1,SOIC-8_3.9x4.9mm_P1.27mm,C2053235,1
Battery_Cell,BT1,BAT-SMD_MY-1220-03,C964818,1
C,C1,C_0402_1005Metric,C1525,1
LED,"D1,D2,D3,D4,D5",LED_0805_2012Metric,C5569577,5
LED,"D6,D7",LED_0805_2012Metric,C7280948,2
R,"R6,R7",R_0402_1005Metric,C25076,2
R,"R1,R2,R3,R4,R5",R_0402_1005Metric,C25104,5
~,SW3,SW-TH_K3-1296S-E1,C128955,1
~,SW4,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884,1
Conn_01x03_Pin,J1,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,,1
